"",danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,mode
1,0.521,0.365,3,-10.914,0.0317,0.626,0.012,0.185,0.324,143.789,4,265798,1
2,0.544,0.337,10,-9.846,0.0653,0.357,6.34e-05,0.085,0.667,192.685,4,191173,1
3,0.591,0.309,4,-11.087,0.0287,0.704,0.0122,0.102,0.257,71.573,4,239151,0
4,0.651,0.244,7,-11.925,0.0544,0.856,0.00165,0.0895,0.395,149.759,3,197576,1
5,0.556,0.315,7,-11.651,0.0625,0.568,0,0.0774,0.256,143.327,4,290584,0
6,0.428,0.365,4,-11.889,0.0276,0.78,0.0033,0.113,0.236,94.033,3,198554,0
7,0.548,0.328,9,-9.973,0.0296,0.663,0.00365,0.0972,0.343,67.023,3,237984,0
8,0.394,0.452,4,-9.923,0.0321,0.276,0.00998,0.193,0.653,169.298,4,244932,0
9,0.569,0.335,11,-13.637,0.0322,0.802,0.018,0.0834,0.388,127.587,4,210012,0
10,0.52,0.478,4,-10.862,0.0276,0.61,0.00122,0.105,0.545,82.932,4,167379,1
11,0.521,0.365,3,-10.914,0.0317,0.626,0.012,0.185,0.324,143.789,4,265798,1
12,0.544,0.337,10,-9.846,0.0653,0.357,6.34e-05,0.085,0.667,192.685,4,191173,1
13,0.591,0.309,4,-11.087,0.0287,0.704,0.0122,0.102,0.257,71.573,4,239151,0
14,0.651,0.244,7,-11.925,0.0544,0.856,0.00165,0.0895,0.395,149.759,3,197576,1
15,0.556,0.315,7,-11.651,0.0625,0.568,0,0.0774,0.256,143.327,4,290584,0
16,0.428,0.365,4,-11.889,0.0276,0.78,0.0033,0.113,0.236,94.033,3,198554,0
17,0.548,0.328,9,-9.973,0.0296,0.663,0.00365,0.0972,0.343,67.023,3,237984,0
18,0.394,0.452,4,-9.923,0.0321,0.276,0.00998,0.193,0.653,169.298,4,244932,0
19,0.569,0.335,11,-13.637,0.0322,0.802,0.018,0.0834,0.388,127.587,4,210012,0
20,0.52,0.478,4,-10.862,0.0276,0.61,0.00122,0.105,0.545,82.932,4,167379,1
21,0.463,0.802,9,-7.804,0.0711,0.0887,0,0.949,0.451,129.643,4,331520,0
