"","genre","artist_name","track_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"1","hip-hop","21 Savage","Rich Flex",0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3
"2","hip-hop","21 Savage","Jimmy Cooks (feat. 21 Savage)",0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
"3","hip-hop","21 Savage","Pussy & Millions (feat. Travis Scott)",0.749,0.63,4,-6.652,0,0.116,0.0623,0,0.353,0.445,122.03,242027,4
"4","hip-hop","21 Savage","Major Distribution",0.908,0.546,8,-10.491,0,0.323,0.0127,0,0.0707,0.225,131.016,170502,4
"5","hip-hop","21 Savage","On BS",0.841,0.358,9,-8.368,1,0.591,0.0201,0,0.39,0.329,158.014,261544,4
"6","hip-hop","21 Savage","Circo Loco",0.734,0.605,1,-8.476,1,0.0699,0.0102,0,0.317,0.252,103.976,236795,4
"7","hip-hop","21 Savage","Spin Bout U",0.773,0.701,7,-6.386,1,0.0512,0.01,0,0.163,0.203,129.963,214589,4
"8","hip-hop","21 Savage","Privileged Rappers",0.934,0.614,5,-7.384,1,0.198,0.00274,0,0.123,0.616,144.045,160821,4
"9","hip-hop","21 Savage","Broke Boys",0.642,0.533,2,-7.45,1,0.266,0.0104,0.000108,0.251,0.112,120.041,225439,4
"10","hip-hop","21 Savage","Hours In Silence",0.501,0.403,6,-11.106,0,0.119,0.234,0,0.267,0.111,118.352,399154,4
"11","hip-hop","Lil Baby","Drip Too Hard (Lil Baby & Gunna)",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4
"12","hip-hop","Lil Baby","Freestyle",0.877,0.517,2,-5.426,0,0.0706,0.217,0,0.143,0.255,119.996,162053,4
"13","hip-hop","Lil Baby","Wants and Needs (feat. Lil Baby)",0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4
"14","hip-hop","Lil Baby","Yes Indeed",0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,142273,4
"15","hip-hop","Lil Baby","California Breeze",0.738,0.666,5,-6.97,0,0.455,0.00361,0,0.107,0.215,161.734,177789,4
"16","hip-hop","Lil Baby","Pure Cocaine",0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4
"17","hip-hop","Lil Baby","Not Finished",0.785,0.524,1,-7.004,1,0.122,0.0123,0,0.365,0.0855,142.007,163454,4
"18","hip-hop","Lil Baby","Girls Want Girls (with Lil Baby)",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,221980,4
"19","hip-hop","Lil Baby","STAYING ALIVE (feat. Drake & Lil Baby)",0.677,0.495,4,-7.174,0,0.0821,0.0668,0,0.319,0.152,129.974,178176,4
"20","hip-hop","Lil Baby","Real Spill",0.776,0.557,2,-7.441,1,0.545,0.0496,0,0.112,0.284,156.978,198722,4
"21","hip-hop","Future","WAIT FOR U (feat. Drake & Tems)",0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893,4
"22","hip-hop","Future","Mask Off",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
"23","hip-hop","Future","Solo",0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,265996,4
"24","hip-hop","Future","PUFFIN ON ZOOTIEZ",0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,172933,4
"25","hip-hop","Future","Way 2 Sexy (with Future & Young Thug)",0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
"26","hip-hop","Future","pushin P (feat. Young Thug)",0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1
"27","hip-hop","Future","Life Is Good (feat. Drake)",0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053,237918,4
"28","hip-hop","Future","Turn On The Lights again.. (feat. Future)",0.683,0.887,6,-4.944,0,0.0497,0.0125,0.446,0.318,0.551,132.007,267947,4
"29","hip-hop","Future","Low Life (feat. The Weeknd)",0.722,0.331,8,-7.789,1,0.0726,0.337,0.282,0.146,0.102,143.961,313547,4
"30","hip-hop","Future","I'M ON ONE (feat. Drake)",0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,236187,4
"31","hip-hop","Kendrick Lamar","HUMBLE.",0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
"32","hip-hop","Kendrick Lamar","All The Stars (with SZA)",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4
"33","hip-hop","Kendrick Lamar","LOVE. FEAT. ZACARI.",0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,213400,4
"34","hip-hop","Kendrick Lamar","N95",0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4
"35","hip-hop","Kendrick Lamar","PRIDE.",0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,4
"36","hip-hop","Kendrick Lamar","Die Hard",0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,239027,4
"37","hip-hop","Kendrick Lamar","Money Trees",0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,386907,4
"38","hip-hop","Kendrick Lamar","Alright",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,219333,4
"39","hip-hop","Kendrick Lamar","family ties (with Kendrick Lamar)",0.711,0.611,1,-5.453,1,0.33,0.00588,0,0.23,0.144,134.093,252262,4
"40","hip-hop","Kendrick Lamar","DNA.",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,185947,4
"41","hip-hop","J. Cole","No Role Modelz",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,292799,4
"42","hip-hop","J. Cole","Wet Dreamz",0.495,0.722,6,-8.108,0,0.357,0.0697,0,0.113,0.539,175.627,239267,4
"43","hip-hop","J. Cole","She Knows (feat. Amber Coffman & Cults)",0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,4
"44","hip-hop","J. Cole","MIDDLE CHILD",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4
"45","hip-hop","J. Cole","Work Out",0.831,0.427,2,-6.903,1,0.106,0.0531,0,0.307,0.216,93.004,235320,4
"46","hip-hop","J. Cole","m y . l i f e (with 21 Savage & Morray)",0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,218802,4
"47","hip-hop","J. Cole","p r i d e . i s . t h e . d e v i l (with Lil Baby)",0.861,0.656,4,-7.867,0,0.425,0.104,0,0.0986,0.331,88.967,218210,4
"48","hip-hop","J. Cole","Power Trip (feat. Miguel)",0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,241160,4
"49","hip-hop","J. Cole","Love Yourz",0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,211497,4
"50","hip-hop","J. Cole","Kevin’s Heart",0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079,200310,4
"51","hip-hop","Eminem","Mockingbird",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,250760,4
"52","hip-hop","Eminem","Without Me",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,290320,4
"53","hip-hop","Eminem","The Real Slim Shady",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4
"54","hip-hop","Eminem","Superman",0.802,0.755,4,-3.138,0,0.0564,0.0215,0,0.295,0.58,130.027,350320,4
"55","hip-hop","Eminem","Till I Collapse",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,297787,4
"56","hip-hop","Eminem","Stan",0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,4
"57","hip-hop","Eminem","Love The Way You Lie",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,4
"58","hip-hop","Eminem","Godzilla (feat. Juice WRLD)",0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4
"59","hip-hop","Eminem","Not Afraid",0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,248133,5
"60","hip-hop","Eminem","Lose Yourself - From ""8 Mile"" Soundtrack",0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,4
"61","hip-hop","$uicideboy$","...And to Those I Love, Thanks for Sticking Around",0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,4
"62","hip-hop","$uicideboy$","Antarctica",0.715,0.633,2,-6.869,1,0.0804,0.553,4.45e-06,0.0905,0.319,105.945,126850,5
"63","hip-hop","$uicideboy$","Kill Yourself (Part III)",0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,145078,4
"64","hip-hop","$uicideboy$","Paris",0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,111020,4
"65","hip-hop","$uicideboy$","Matte Black",0.877,0.826,10,-3.75,0,0.206,0.122,1.05e-05,0.104,0.814,75.003,238146,4
"66","hip-hop","$uicideboy$","1000 Blunts",0.83,0.698,5,-6.517,0,0.077,0.224,1.02e-06,0.191,0.595,132.99,175476,4
"67","hip-hop","$uicideboy$","Runnin' Thru the 7th with My Woadies",0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,205766,4
"68","hip-hop","$uicideboy$","My Flaws Burn Through My Skin Like Demonic Flames from Hell",0.78,0.748,11,-7.394,0,0.0352,0.00448,0.000546,0.115,0.0663,125.98,167680,4
"69","hip-hop","$uicideboy$","For the Last Time",0.844,0.533,1,-9.612,1,0.552,0.0735,3.46e-06,0.0953,0.23,140.078,156081,4
"70","hip-hop","$uicideboy$","Carrollton",0.848,0.52,5,-10.663,0,0.501,0.00225,0.000799,0.679,0.304,149.996,203897,4
"71","hip-hop","Tyler, The Creator","See You Again (feat. Kali Uchis)",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
"72","hip-hop","Tyler, The Creator","NEW MAGIC WAND",0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,195320,4
"73","hip-hop","Tyler, The Creator","EARFQUAKE",0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
"74","hip-hop","Tyler, The Creator","ARE WE STILL FRIENDS?",0.216,0.497,10,-8.025,1,0.0371,0.128,2.39e-06,0.111,0.313,187.308,265480,3
"75","hip-hop","Tyler, The Creator","BEST INTEREST",0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921,3
"76","hip-hop","Tyler, The Creator","Cash In Cash Out",0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136,4
"77","hip-hop","Tyler, The Creator","GONE, GONE / THANK YOU",0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,375387,4
